V,I (mA),I
3.218,0.03,30
3.198,0.03,30
3.178,0.03,30
3.158,0.03,30
3.138,0.03,30
3.118,0.03,30
3.0975,0.03,30
3.0775,0.03,30
3.0575,0.03,30
3.0375,0.03,30
3.0175,0.03,30
2.9975,0.03,30
2.9775,0.03,30
2.9575,0.03,30
2.9375,0.03,30
2.9175,0.03,30
2.897,0.03,30
2.877,0.03,30
2.857,0.03,30
2.837,0.03,30
2.817,0.03,30
2.797,0.03,30
2.777,0.03,30
2.757,0.03,30
2.737,0.03,30
2.717,0.03,30
2.6965,0.03,30
2.6765,0.03,30
2.6565,0.03,30
2.6365,0.03,30
2.6165,0.03,30
2.5965,0.03,30
2.5765,0.03,30
2.5565,0.03,30
2.5365,0.03,30
2.5165,0.03,30
2.496,0.03,30
2.476,0.03,30
2.456,0.03,30
2.436,0.03,30
2.416,0.03,30
2.396,0.02997,29.97
2.376,0.02967,29.67
2.356,0.02937,29.37
2.336,0.02908,29.08
2.316,0.02878,28.78
2.2955,0.02848,28.48
2.2755,0.02819,28.19
2.2555,0.0279,27.9
2.2355,0.02761,27.61
2.2155,0.02731,27.31
2.1955,0.02702,27.02
2.1755,0.02673,26.73
2.1555,0.02643,26.43
2.1355,0.02613,26.13
2.1155,0.02585,25.85
2.095,0.02555,25.55
2.075,0.02527,25.27
2.055,0.02497,24.97
2.035,0.02468,24.68
2.015,0.0244,24.4
1.995,0.02411,24.11
1.975,0.02383,23.83
1.955,0.02353,23.53
1.935,0.02324,23.24
1.915,0.02296,22.96
1.8945,0.02266,22.66
1.8745,0.02238,22.38
1.8545,0.0221,22.1
1.8345,0.02181,21.81
1.8145,0.02153,21.53
1.7945,0.02124,21.24
1.7745,0.02096,20.96
1.7545,0.02068,20.68
1.7345,0.02039,20.39
1.7145,0.02011,20.11
1.694,0.01982,19.82
1.674,0.01955,19.55
1.654,0.01926,19.26
1.634,0.01898,18.98
1.614,0.0187,18.7
1.594,0.01843,18.43
1.574,0.01815,18.15
1.554,0.01788,17.88
1.534,0.0176,17.6
1.514,0.01732,17.32
1.4935,0.01704,17.04
1.4735,0.01676,16.76
1.4535,0.01649,16.49
1.4335,0.01621,16.21
1.4135,0.01594,15.94
1.3935,0.01567,15.67
1.3735,0.0154,15.4
1.3535,0.01512,15.12
1.3335,0.01485,14.85
1.3135,0.01458,14.58
1.293,0.01431,14.31
1.273,0.01403,14.03
1.253,0.01377,13.77
1.233,0.0135,13.5
1.213,0.01324,13.24
1.193,0.01297,12.97
1.173,0.01271,12.71
1.153,0.01244,12.44
1.133,0.01218,12.18
1.113,0.01192,11.92
1.0925,0.01165,11.65
1.0725,0.01139,11.39
1.0525,0.01113,11.13
1.0325,0.01087,10.87
1.0125,0.01061,10.61
0.9925,0.01036,10.36
0.9725,0.01011,10.11
0.9525,0.00985,9.85
0.9325,0.0096,9.6
0.9125,0.00934,9.34
0.892,0.00909,9.09
0.872,0.00884,8.84
0.852,0.00859,8.59
0.832,0.00834,8.34
0.812,0.0081,8.1
0.792,0.00785,7.85
0.772,0.00761,7.61
0.752,0.00737,7.37
0.732,0.00713,7.13
0.712,0.00689,6.89
0.6915,0.00665,6.65
0.6715,0.00641,6.41
0.6515,0.00617,6.17
0.6315,0.00594,5.94
0.6115,0.00571,5.71
0.5915,0.00548,5.48
